iter	RMSE
0	215.5327742
1	204.082335
2	193.3241882
3	183.3753128
4	174.0588213
5	165.3342725
6	157.2086602
7	149.650163
8	142.6343076
9	136.0077027
10	129.8774646
11	124.203679
12	118.9667338
13	114.1259252
14	109.7069222
15	105.6028235
16	101.7599606
17	98.26755409
18	95.12941306
19	92.2057627
20	89.49351804
21	86.96839651
22	84.67038413
23	82.6556486
24	80.76389696
25	79.07078725
26	77.57741188
27	76.22162582
28	74.99055059
29	73.82148613
30	72.79761649
31	71.8441309
32	70.98780946
33	70.2116038
34	69.5277518
35	68.89061681
36	68.3700061
37	67.85705127
38	67.39051489
39	66.99833918
40	66.63042506
41	66.30398828
42	66.00225718
43	65.75940815
44	65.55115461
45	65.32287721
46	65.12125229
47	64.93817441
48	64.78772155
49	64.63693955
50	64.49266718
51	64.36749041
52	64.27619028
53	64.18917822
54	64.09481818
55	64.03388262
56	63.96810958
57	63.90551156
58	63.83501823
59	63.78509046
60	63.72076754
61	63.67991085
62	63.62482135
63	63.57455974
64	63.53683347
65	63.48124591
66	63.44674959
67	63.41276411
68	63.37297481
69	63.3441442
70	63.31694428
71	63.29475454
72	63.25525476
73	63.22401061
74	63.19254674
75	63.17306937
76	63.14981683
77	63.11621633
78	63.08992586
79	63.06817127
80	63.05260563
81	63.03155617
82	63.01107089
83	62.98201381
84	62.963206
85	62.95117994
86	62.93048061
87	62.90950729
88	62.89352369
89	62.87867639
90	62.85856379
91	62.84744073
92	62.83089824
93	62.82259508
94	62.80660492
95	62.78887328
96	62.77833254
97	62.76790575
98	62.74641915
99	62.7289891
100	62.71845143
101	62.7061538
102	62.69424585
103	62.68653379
104	62.67553718
105	62.66110542
106	62.64554375
107	62.63769078
108	62.61005109
109	62.60091593
110	62.58208867
111	62.55788538
112	62.54545256
113	62.53461112
114	62.51786043
115	62.50948547
116	62.50678923
117	62.50002117
118	62.49095591
119	62.48211262
120	62.46956667
121	62.4595838
122	62.45364217
123	62.42968147
124	62.40369418
125	62.39331822
126	62.38747856
127	62.36633641
128	62.35949564
129	62.35274208
130	62.3450762
131	62.32489414
132	62.31400216
133	62.31182356
134	62.30587494
135	62.29596231
136	62.29322823
137	62.27301653
138	62.25108418
139	62.22860507
140	62.22149952
141	62.20068432
142	62.18321468
143	62.16150454
144	62.15460235
145	62.1329848
146	62.11503807
147	62.09797571
148	62.08797748
149	62.07198852
150	62.05800399
151	62.04100007
152	62.02822836
153	62.01035113
154	61.98374988
155	61.97320982
156	61.95124873
157	61.93695582
158	61.9160978
159	61.90364423
160	61.88662785
161	61.88628004
162	61.85804876
163	61.85035953
164	61.83757066
165	61.80711525
166	61.79696164
167	61.78165232
168	61.76172229
169	61.74146749
170	61.72830904
171	61.71300999
172	61.6981946
173	61.67384272
174	61.65450778
175	61.64101516
176	61.63127792
177	61.61483654
178	61.6028326
179	61.58731716
180	61.57558071
181	61.55972256
182	61.54458084
183	61.53214563
184	61.52102141
185	61.50606445
186	61.48207551
187	61.46419146
188	61.45406231
189	61.44313704
190	61.42794597
191	61.4126779
192	61.39704433
193	61.38320846
194	61.3698929
195	61.35710964
196	61.34733855
197	61.33511798
198	61.32159223
199	61.3112195
200	61.30021738
201	61.29446546
202	61.27878492
203	61.25462588
204	61.23106502
205	61.20940255
206	61.19729525
207	61.18424872
208	61.1735616
209	61.1566135
210	61.13589952
211	61.12193207
212	61.10997682
213	61.09347776
214	61.08169379
215	61.0653059
216	61.04560063
217	61.03648438
218	61.01940683
219	61.00712608
220	60.99051336
221	60.97770822
222	60.94959521
223	60.93007253
224	60.9162188
225	60.89693897
226	60.88532866
227	60.85747516
228	60.84547283
229	60.81549938
230	60.79838584
231	60.7869556
232	60.7757468
233	60.7618417
234	60.74317931
235	60.7304731
236	60.7035232
237	60.69571991
238	60.67553042
239	60.66676959
240	60.65288058
241	60.64293551
242	60.63549531
243	60.61981627
244	60.59603647
245	60.57083559
246	60.55904834
247	60.54546895
248	60.53042965
249	60.51705757
250	60.50354441
251	60.47880867
252	60.46711708
253	60.45476305
254	60.43843426
255	60.41889701
256	60.39393765
257	60.37664493
258	60.36021133
259	60.3492326
260	60.33039344
261	60.30748339
262	60.28319225
263	60.2649871
264	60.25383342
265	60.22868859
266	60.21919102
267	60.19604443
268	60.18594193
269	60.17349461
270	60.16693395
271	60.14862788
272	60.13311577
273	60.11112606
274	60.08631328
275	60.07658426
276	60.06504016
277	60.05750528
278	60.04679563
279	60.03281105
280	60.02155623
281	60.00807848
282	59.99062059
283	59.976181
284	59.96129163
285	59.94069146
286	59.9242574
